WRN 2026-04-29T11:52:29.377 ui.30147   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-29T11:52:29.377 ui.30147   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-29T11:52:29.377 ui.30147   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-29T11:52:29.377 ui.30147   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-29T11:52:29.377 ui.30147   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-29T12:00:44.398 ui.33037   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-29T12:00:44.398 ui.33037   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-29T12:00:44.398 ui.33037   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-29T12:00:44.398 ui.33037   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-29T12:00:44.398 ui.33037   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-29T12:01:24.498 ui.35433   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-29T12:01:24.498 ui.35433   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-29T12:01:24.498 ui.35433   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-29T12:01:24.498 ui.35433   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-29T12:01:24.498 ui.35433   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
